sample_id,filepath,original_filepath,true_label,predicted_prob,error_type,source_split
pa_083701,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083701.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083701.wav,GENUINE_MIC,0.6778759360313416,false_positive,replay
pa_083709,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083709.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083709.wav,PHYSICAL_REPLAY,0.5870401859283447,false_negative,replay
pa_083711,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083711.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083711.wav,PHYSICAL_REPLAY,0.4941160976886749,false_negative,replay
pa_083712,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083712.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083712.wav,PHYSICAL_REPLAY,0.564328134059906,false_negative,replay
pa_083719,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083719.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083719.wav,GENUINE_MIC,0.9853346347808838,false_positive,replay
pa_083723,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083723.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083723.wav,PHYSICAL_REPLAY,0.49300041794776917,false_negative,replay
pa_083727,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083727.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083727.wav,PHYSICAL_REPLAY,0.321194052696228,false_negative,replay
pa_083729,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083729.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083729.wav,GENUINE_MIC,0.7094807028770447,false_positive,replay
pa_083730,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083730.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083730.wav,PHYSICAL_REPLAY,0.5678130984306335,false_negative,replay
pa_083736,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083736.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083736.wav,PHYSICAL_REPLAY,0.3194461762905121,false_negative,replay
